analysis_family,record_type,sampling_seed,is_primary_seed,group_a,group_b,sampled_n_a,sampled_n_b,sampled_mean_a,sampled_mean_b,sampled_median_a,sampled_median_b,q25_a,q75_a,pairwise_mean_difference,pairwise_median_difference,effect_size_rank_biserial,sign_agreement_mean_fraction,sign_agreement_median_fraction,sign_agreement_effect_fraction,stability_status
luhk,pair,20260720,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.617000197553635,1.45890256245931,3.788095474243164,1.068643569946289,1.832782745361328,8.900135040283203,4.158097635094325,2.719451904296875,0.5690173333333333,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260720,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,5.665498733520508,2.2791846886077924,5.628732681274414,2.089929580688477,3.298257827758789,7.995973587036133,3.386314044912716,3.538803100585937,0.7672734026745913,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260720,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,5.665498733520508,1.9766963224426568,5.628732681274414,1.5606327056884766,3.298257827758789,7.995973587036133,3.688802411077851,4.0680999755859375,0.8132137030995106,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260720,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,5.665498733520508,1.45890256245931,5.628732681274414,1.068643569946289,3.298257827758789,7.995973587036133,4.206596171061198,4.560089111328125,0.9366666666666668,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260720,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.2791846886077924,1.9766963224426568,2.089929580688477,1.5606327056884766,1.1821537017822266,3.0718021392822266,0.3024883661651356,0.529296875,0.1524000785361254,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260720,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.2791846886077924,1.45890256245931,2.089929580688477,1.068643569946289,1.1821537017822266,3.0718021392822266,0.8202821261484825,1.0212860107421875,0.3269638434868747,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260720,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.9766963224426568,1.45890256245931,1.5606327056884766,1.068643569946289,0.8035526275634766,2.694421768188477,0.5177937599833469,0.4919891357421875,0.174594888526373,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260721,False,31 | GIC / open space,,10000,,5.633043092250824,,3.870685577392578,,1.832782745361328,8.900135040283203,,,,,,,group_distribution_record
luhk,group,20260721,False,51 | Other urban / built-up land,,4,,2.901819229125977,,2.920831680297852,,2.5810794830322266,3.2415714263916016,,,,,,,group_distribution_record
luhk,group,20260721,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.2547138080908677,,2.014337539672852,,1.125436782836914,3.117023468017578,,,,,,,group_distribution_record
